SMILES,CB1
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C(=C1C)c5ccc(C)cc5,0
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C(=C1C)c5ccccc5,0
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C(=C1C)c5cccc(c5)C(=O)C,0
CCCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C(=C1C)I,0
COCCCN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C=C1C,0
CC1=CC(=O)C(=CN1CCC2CCOCC2)C(=O)NC34CC5CC(CC(C5)C3)C4,0
CC1=CC(=O)C(=CN1CCC2OCCO2)C(=O)NC34CC5CC(CC(C5)C3)C4,0
CC1=CC(=O)C(=CN1CC2OCCO2)C(=O)NC34CC5CC(CC(C5)C3)C4,0
COC(CN1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C=C1C)OC,0
C\C=C/N1C=C(C(=O)NC23CC4CC(CC(C4)C2)C3)C(=O)C=C1C,0
CCCCCN1C=C(C(=O)NC(C)C)C(=O)C=C1C,0
CCCCCN1C=C(C(=O)Nc2ccccc2)C(=O)C=C1C,0
CCCCCN1C=C(C(=O)NN2CCCCC2)C(=O)C=C1C,0
CCCCCN1C=C(C(=O)NCC2CC2)C(=O)C=C1C,0
Brc1ccc(NC(=O)NC(c2ccccc2)c3ccccc3)cc1,1
Ic1ccc(NC(=O)NC(c2ccccc2)c3ccccc3)cc1,1
Fc1ccccc1NC(=O)NC(c2ccccc2)c3ccccc3,1
Brc1ccc(cc1)C2(NC(=O)N(C2=O)c3ccccc3)c4ccc(Br)cc4,1
Fc1ccc(NC(=O)NC(c2ccccc2)c3ccccc3)cc1,1
Clc1ccc(NC(=O)NC(c2ccccc2)c3ccccc3)cc1,1
Brc1ccc(cc1)C(NC(=O)Nc2ccc(I)cc2)c3ccc(Br)cc3,1
COc1ccc(NC(=O)NC(c2ccccc2)c3ccccc3)cc1,1
CCCCCCc1ccc(NC(=O)NC(c2ccc(Br)cc2)c3ccc(Br)cc3)cc1,1
OCc1ccc(NC(=O)NC(c2ccc(Br)cc2)c3ccc(Br)cc3)cc1,1
CCCCCCc1ccc(NC(=O)NC(c2ccccc2)c3ccccc3)cc1,0
COc1ccc(cc1OC)C2=CC(=O)c3c(O)c(OC)c(OC)cc3O2,1
CCCCCCCc1cc(F)c2[C@@H]3CC(=CC[C@H]3C(C)(C)Oc2c1)C,0
CCCCCN1C=C(C(=O)NC23CC4CC(C)(CC(C)(C4)C2)C3)C(=O)c5cccnc15,0
CCCCCN1N=C(C(=O)NC23CC4CC(C)(CC(C)(C4)C2)C3)C(=O)c5ccccc15,1
CCCCCCN1C=C(C(=O)c2cccc3ccccc23)C(=O)c4ccccc14,1
Fc1ccc(CN2C=C(C(=O)c3cccc4ccccc34)C(=O)c5ccccc25)cc1,0
CCCCCN1C=C(C(=O)NC2CCCc3ccccc23)C(=O)c4cc(Cl)ccc14,0
CC(NC(=O)C1=CN(CCN2CCOCC2)c3ccccc3C1=O)c4ccccc4,1
CCCCCN1C=C(C(=O)NCC23CC4CC(CC(C4)C2)C3)C(=O)c5ccccc15,1
O=C(C1=CNc2ccccc2C1=O)c3cccc4ccccc34,1
CCCCN1C=C(C(=O)c2cccc3ccccc23)C(=O)c4ccccc14,1
